UT, MJD, C/2017 K2 X, C/2017 K2 Y, C/2017 K2 Z , Mercury X, Mercury Y, Mercury Z, Venus X, Venus Y, Venus Z, Earth X, Earth Y, Earth Z, Mars X, Mars Y, Mars Z, Jupiter X, Jupiter Y, Jupiter Z, Saturn X, Saturn Y, Saturn Z, Uranus X, Uranus Y, Uranus Z, Neptune X, Neptune Y, Neptune Z, Pluto X, Pluto Y, Pluto Z
47892, 1990-01-01T00:00:00.00,-1.931,12.805,54.64,0.164,0.264,0.007,0.004,0.72,0.01,-0.178,0.967,0,-0.976,-1.201,-0.001,-0.567,5.119,-0.008,2.808,-9.626,0.056,1.919,-19.283,-0.097,6.392,-29.523,0.461,-19.973,-20.425,7.963
47893, 1990-01-02T00:00:00.00,-1.931,12.804,54.637,0.133,0.278,0.01,-0.016,0.719,0.011,-0.195,0.964,0,-0.965,-1.209,-0.002,-0.574,5.119,-0.008,2.813,-9.624,0.056,1.922,-19.283,-0.097,6.395,-29.522,0.461,-19.971,-20.427,7.963
47894, 1990-01-03T00:00:00.00,-1.931,12.802,54.634,0.102,0.29,0.014,-0.036,0.718,0.012,-0.213,0.96,0,-0.953,-1.216,-0.002,-0.582,5.118,-0.008,2.818,-9.623,0.056,1.926,-19.283,-0.097,6.398,-29.521,0.46,-19.968,-20.43,7.962
47895, 1990-01-04T00:00:00.00,-1.93,12.801,54.631,0.069,0.299,0.018,-0.057,0.717,0.013,-0.23,0.956,0,-0.942,-1.224,-0.002,-0.59,5.118,-0.008,2.823,-9.621,0.056,1.93,-19.283,-0.097,6.401,-29.521,0.46,-19.966,-20.432,7.962
47896, 1990-01-05T00:00:00.00,-1.93,12.8,54.628,0.036,0.305,0.022,-0.077,0.715,0.014,-0.247,0.952,0,-0.93,-1.231,-0.003,-0.597,5.117,-0.008,2.828,-9.62,0.055,1.934,-19.282,-0.097,6.404,-29.52,0.46,-19.964,-20.435,7.961
47897, 1990-01-06T00:00:00.00,-1.93,12.798,54.625,0.002,0.308,0.025,-0.097,0.713,0.015,-0.263,0.947,0,-0.918,-1.238,-0.003,-0.605,5.117,-0.008,2.833,-9.618,0.055,1.938,-19.282,-0.097,6.407,-29.519,0.46,-19.961,-20.437,7.961
47898, 1990-01-07T00:00:00.00,-1.93,12.797,54.622,-0.032,0.307,0.028,-0.117,0.709,0.016,-0.28,0.943,0,-0.907,-1.245,-0.004,-0.612,5.116,-0.007,2.838,-9.617,0.055,1.942,-19.282,-0.097,6.41,-29.519,0.46,-19.959,-20.44,7.96
47899, 1990-01-08T00:00:00.00,-1.93,12.796,54.619,-0.065,0.304,0.031,-0.137,0.706,0.018,-0.297,0.937,0,-0.895,-1.252,-0.004,-0.62,5.116,-0.007,2.843,-9.615,0.055,1.946,-19.282,-0.097,6.414,-29.518,0.46,-19.956,-20.442,7.96
47900, 1990-01-09T00:00:00.00,-1.93,12.795,54.616,-0.098,0.298,0.033,-0.157,0.701,0.019,-0.314,0.932,0,-0.883,-1.259,-0.005,-0.628,5.115,-0.007,2.848,-9.614,0.055,1.95,-19.282,-0.097,6.417,-29.517,0.46,-19.954,-20.445,7.96
47901, 1990-01-10T00:00:00.00,-1.93,12.793,54.613,-0.13,0.289,0.035,-0.177,0.697,0.02,-0.33,0.926,0,-0.871,-1.266,-0.005,-0.635,5.115,-0.007,2.853,-9.612,0.054,1.953,-19.281,-0.097,6.42,-29.517,0.46,-19.951,-20.448,7.959
47902, 1990-01-11T00:00:00.00,-1.93,12.792,54.61,-0.16,0.277,0.037,-0.196,0.691,0.021,-0.347,0.92,0,-0.859,-1.273,-0.006,-0.643,5.114,-0.007,2.858,-9.61,0.054,1.957,-19.281,-0.097,6.423,-29.516,0.46,-19.949,-20.45,7.959
47903, 1990-01-12T00:00:00.00,-1.93,12.791,54.607,-0.19,0.263,0.039,-0.216,0.685,0.022,-0.363,0.914,0,-0.846,-1.279,-0.006,-0.65,5.113,-0.007,2.863,-9.609,0.054,1.961,-19.281,-0.097,6.426,-29.515,0.46,-19.947,-20.453,7.958
