UT,MJD,C/2017 K2 X,C/2017 K2 Y,C/2017 K2 Z
47892,1990-01-01 0:00:00,-1.931,12.805,54.64
47893,1990-01-02 0:00:00,-1.931,12.804,54.637
47894,1990-01-03 0:00:00,-1.931,12.802,54.634
47895,1990-01-04 0:00:00,-1.93,12.801,54.631
47896,1990-01-05 0:00:00,-1.93,12.8,54.628
47897,1990-01-06 0:00:00,-1.93,12.798,54.625
47898,1990-01-07 0:00:00,-1.93,12.797,54.622
47899,1990-01-08 0:00:00,-1.93,12.796,54.619
47900,1990-01-09 0:00:00,-1.93,12.795,54.616
47901,1990-01-10 0:00:00,-1.93,12.793,54.613
47902,1990-01-11 0:00:00,-1.93,12.792,54.61
47903,1990-01-12 0:00:00,-1.93,12.791,54.607
47904,1990-01-13 0:00:00,-1.93,12.789,54.604
47905,1990-01-14 0:00:00,-1.93,12.788,54.601
47906,1990-01-15 0:00:00,-1.93,12.787,54.598
47907,1990-01-16 0:00:00,-1.929,12.785,54.595
47908,1990-01-17 0:00:00,-1.929,12.784,54.592
47909,1990-01-18 0:00:00,-1.929,12.783,54.589
47910,1990-01-19 0:00:00,-1.929,12.782,54.586
47911,1990-01-20 0:00:00,-1.929,12.78,54.583
47912,1990-01-21 0:00:00,-1.929,12.779,54.58
47913,1990-01-22 0:00:00,-1.929,12.778,54.577
47914,1990-01-23 0:00:00,-1.929,12.776,54.574
47915,1990-01-24 0:00:00,-1.929,12.775,54.571
47916,1990-01-25 0:00:00,-1.929,12.774,54.568
47917,1990-01-26 0:00:00,-1.929,12.772,54.565
47918,1990-01-27 0:00:00,-1.928,12.771,54.562
47919,1990-01-28 0:00:00,-1.928,12.77,54.559
47920,1990-01-29 0:00:00,-1.928,12.769,54.556
47921,1990-01-30 0:00:00,-1.928,12.767,54.553
47922,1990-01-31 0:00:00,-1.928,12.766,54.55
47923,1990-02-01 0:00:00,-1.928,12.765,54.547
47924,1990-02-02 0:00:00,-1.928,12.763,54.544
47925,1990-02-03 0:00:00,-1.928,12.762,54.541
47926,1990-02-04 0:00:00,-1.928,12.761,54.538
47927,1990-02-05 0:00:00,-1.928,12.76,54.535
47928,1990-02-06 0:00:00,-1.928,12.758,54.532
47929,1990-02-07 0:00:00,-1.928,12.757,54.529
47930,1990-02-08 0:00:00,-1.927,12.756,54.526
47931,1990-02-09 0:00:00,-1.927,12.754,54.524
47932,1990-02-10 0:00:00,-1.927,12.753,54.521
47933,1990-02-11 0:00:00,-1.927,12.752,54.518
47934,1990-02-12 0:00:00,-1.927,12.75,54.515
47935,1990-02-13 0:00:00,-1.927,12.749,54.512
47936,1990-02-14 0:00:00,-1.927,12.748,54.509
47937,1990-02-15 0:00:00,-1.927,12.747,54.506
47938,1990-02-16 0:00:00,-1.927,12.745,54.503
47939,1990-02-17 0:00:00,-1.927,12.744,54.5
47940,1990-02-18 0:00:00,-1.927,12.743,54.497
47941,1990-02-19 0:00:00,-1.926,12.741,54.494
47942,1990-02-20 0:00:00,-1.926,12.74,54.491
47943,1990-02-21 0:00:00,-1.926,12.739,54.488
47944,1990-02-22 0:00:00,-1.926,12.737,54.485
47945,1990-02-23 0:00:00,-1.926,12.736,54.482
47946,1990-02-24 0:00:00,-1.926,12.735,54.479
47947,1990-02-25 0:00:00,-1.926,12.734,54.476
47948,1990-02-26 0:00:00,-1.926,12.732,54.473
47949,1990-02-27 0:00:00,-1.926,12.731,54.47
47950,1990-02-28 0:00:00,-1.926,12.73,54.467
47951,1990-03-01 0:00:00,-1.926,12.728,54.464
47952,1990-03-02 0:00:00,-1.925,12.727,54.461
47953,1990-03-03 0:00:00,-1.925,12.726,54.458
47954,1990-03-04 0:00:00,-1.925,12.724,54.455
47955,1990-03-05 0:00:00,-1.925,12.723,54.452
47956,1990-03-06 0:00:00,-1.925,12.722,54.449
47957,1990-03-07 0:00:00,-1.925,12.721,54.446
47958,1990-03-08 0:00:00,-1.925,12.719,54.443
47959,1990-03-09 0:00:00,-1.925,12.718,54.44
47960,1990-03-10 0:00:00,-1.925,12.717,54.437
47961,1990-03-11 0:00:00,-1.925,12.715,54.434
47962,1990-03-12 0:00:00,-1.925,12.714,54.431
47963,1990-03-13 0:00:00,-1.925,12.713,54.428
47964,1990-03-14 0:00:00,-1.924,12.711,54.425
47965,1990-03-15 0:00:00,-1.924,12.71,54.422
47966,1990-03-16 0:00:00,-1.924,12.709,54.419
47967,1990-03-17 0:00:00,-1.924,12.708,54.416
47968,1990-03-18 0:00:00,-1.924,12.706,54.413
47969,1990-03-19 0:00:00,-1.924,12.705,54.41
47970,1990-03-20 0:00:00,-1.924,12.704,54.407
47971,1990-03-21 0:00:00,-1.924,12.702,54.404
47972,1990-03-22 0:00:00,-1.924,12.701,54.401
47973,1990-03-23 0:00:00,-1.924,12.7,54.398
47974,1990-03-24 0:00:00,-1.924,12.698,54.395
47975,1990-03-25 0:00:00,-1.923,12.697,54.392
47976,1990-03-26 0:00:00,-1.923,12.696,54.389
47977,1990-03-27 0:00:00,-1.923,12.695,54.386
47978,1990-03-28 0:00:00,-1.923,12.693,54.383
47979,1990-03-29 0:00:00,-1.923,12.692,54.38
47980,1990-03-30 0:00:00,-1.923,12.691,54.377
47981,1990-03-31 0:00:00,-1.923,12.689,54.374
47982,1990-04-01 0:00:00,-1.923,12.688,54.371
47983,1990-04-02 0:00:00,-1.923,12.687,54.368
47984,1990-04-03 0:00:00,-1.923,12.686,54.365
47985,1990-04-04 0:00:00,-1.923,12.684,54.362
47986,1990-04-05 0:00:00,-1.923,12.683,54.359
47987,1990-04-06 0:00:00,-1.922,12.682,54.356
47988,1990-04-07 0:00:00,-1.922,12.68,54.353
47989,1990-04-08 0:00:00,-1.922,12.679,54.35
47990,1990-04-09 0:00:00,-1.922,12.678,54.347
47991,1990-04-10 0:00:00,-1.922,12.676,54.344
47992,1990-04-11 0:00:00,-1.922,12.675,54.341
47993,1990-04-12 0:00:00,-1.922,12.674,54.338
47994,1990-04-13 0:00:00,-1.922,12.673,54.335
47995,1990-04-14 0:00:00,-1.922,12.671,54.332
47996,1990-04-15 0:00:00,-1.922,12.67,54.329
47997,1990-04-16 0:00:00,-1.922,12.669,54.326
47998,1990-04-17 0:00:00,-1.921,12.667,54.323
47999,1990-04-18 0:00:00,-1.921,12.666,54.32
48000,1990-04-19 0:00:00,-1.921,12.665,54.317
48001,1990-04-20 0:00:00,-1.921,12.663,54.314
48002,1990-04-21 0:00:00,-1.921,12.662,54.311
48003,1990-04-22 0:00:00,-1.921,12.661,54.308
48004,1990-04-23 0:00:00,-1.921,12.66,54.305
48005,1990-04-24 0:00:00,-1.921,12.658,54.302
48006,1990-04-25 0:00:00,-1.921,12.657,54.299
48007,1990-04-26 0:00:00,-1.921,12.656,54.296
48008,1990-04-27 0:00:00,-1.921,12.654,54.293
